Rank,Company Name,Target summary,Sector (final classification),Region,RE100 (Y/N),Joining year,Target year,"SBT (Y = yes, N=no)",Target status - NT,Target classification NT - temp,"Target year NT (earlier of the two dates if there were two) - if committed, then year set to 2030",Net zero committed (SBTi),SBTi NZ approved year,Commitment date (SBTi),Commitment year (SBTi),"Carbon neutral commitment (C = company, V = value chain, G= Government, S = subsidiary, U = unspecified, x = less than 50% of rev, N=no)",Carbon neutral scope(s) (in their words) (+ indicates two targets/ a later target),Carbon neutral claim (in their words),Carbon neutral commitment - EARLY,Earlier carbon neutral target year,Earlier carbon neutral announcement year,Carbon neutral commitment - LATE,Later carbon neutral target year,Later carbon neutral announcement year,"Carbon credits (Y = yes, N = no, R = removals only, U = unclear)",Souce Date,"Net zero commitment (V = value chain, C = company, S = subsidiary, U = unclear, x = less than 50% rev)",Primary net zero scope (in their words),Primary net zero claim (in their words),Net Zero Target - EARLY,Earlier net zero target year,Earlier net zero announcement year,Net Zero Target - LATE,Later net zero target year,Later net zero announcement year,"Carbon credits (Y = yes, N = no, R = removals only, U = unclear).1","Reduction targets for Decarbonization (V = value chain, C = company)",CN already achieved ,CN 2024-2030,CN 2031-2050,Any CN,NZ already achieved,NZ 2024-2030,NZ 2031-2050,Any NZ,SBT already achieved,SBT 2024-2030,SBT 2031-2050,Any SBT,RE100 already achieved,RE100 2024-2030,RE100 2031-2050,Any RE100,CN/NZ - does the company have a voluntary CN or NZ target?,CN/NZ by 2030,CN/NZ by 2050,will use cabon credits,will NOT use carbon credits,any commitment,any commitment already achieved,any commitment by 2030,any commitment by 2050,NZ covering VC already achieved,NZ covering VC 2024-2030,NZ covering VC 2031-2050,Any NZ covering VC
1,Walmart, NZ SBT RE100,Retail,North America,Y,2015,2035,Y,Targets Set,1.5Â°C,2025,No,,01/11/2016,2016,N,,,N,,,,,,,,C,operations,Scope 1 + 2,C,2050,2020,,,,N,,,,,,,,1,1,,1,,1,,,1,1,1,,1,,1,1,,1,1,,,,
2,Amazon, NZ,Retail,North America,N,,,N,Removed,,,No,,01/06/2020,2020,N,,,N,,,,,,,,C,Scope 1 and 2,Net Zero,C,2040,2019,,,,Y,,,,,,,,1,1,,,,,,,,,1,,1,1,,1,,,1,,,,
3,State Grid,,Energy and utilities,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Saudi Aramco, NZ,Metals and mining,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,C,Scope 1 and 2,Net Zero,C,2050,2021,,,,Y,,,,,,,,1,1,,,,,,,,,1,,1,1,,1,,,1,,,,
5,Sinopec Group,,Oil and gas,Asia,N,,,N,,,,,,,,G,undefined,carbon neutrality,G,2060,2021,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,China National Petroleum,,Oil and gas,Asia,N,,,N,,,,,,,,G,undefined,carbon neutrality,G,2060,2020,,,,,,I,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Apple,CN SBT RE100,Technology,North America,Y,2016,2021,Y,Targets Set,1.5Â°C,2030,No,,01/05/2021,2021,"C, V","corporate operations, entire value chain",carbon neutrality,C,2020,2020,V,2030,2020,R,2024,N,,,N,,,,,,,,1,,,1,,,,,,1,,1,1,,,1,1,1,1,1,,1,1,1,1,,,,
8,UnitedHealth Group, NZ SBT,Health care and pharmaceuticals,North America,N,,,N,Committed,,2030,Yes,,01/06/2022,2022,N,,,N,,,,,,,,C,operational,Net Zero,C,2035,2022,,,,Y,,,,,,,,1,1,,1,,1,,,,,1,,1,1,,1,,1,1,,,,
9,Berkshire Hathaway,,Financial services,North America,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,CVS Health,CN NZ SBT,Health care and pharmaceuticals,North America,N,,,Y,Targets Set,1.5Â°C,2030,Yes,2050,01/10/2021,2021,C,company,carbon neutrality,C,2030,2021,,,,U,2023,"C, V","direct operations, across our value chain",Net Zero Emissions,C,2048,2021,V,2050,2021,U,,,1,,1,,,1,1,,1,,1,,,,,1,1,1,,,1,,1,1,,,1,1
11,Volkswagen,CN SBT,Automotive,Europe,N,,,Y,Targets Set,1.5Â°C/2Â°C,2025,No,,01/04/2022,2022,C,Supply chain ,Net Carbon Neutrality,C,2050,2021,,,,Y,2023,N,,,N,,,,,,,,,,1,1,,,,,,1,,1,,,,,1,,1,1,,1,,1,1,,,,
12,Exxon Mobil, NZ,Oil and gas,North America,N,,,N,,,,,,,,N,,,N,,,,,,,,C,Scope 1 and 2,Net Zero,C,2050,2022,,,,Y,,,,,,,,1,1,,,,,,,,,1,,1,1,,1,,,1,,,,
13,Shell, NZ,Oil and gas,Europe,N,,,N,,,,,,,,N,,,N,,,,,,,,C,Scope 1 + 2 + 3 (partially),Net Zero,C,2050,2020,,,,Y,,,,,,,,1,1,,,,,,,,,1,,1,1,,1,,,1,,,,
14,China State Construction Engineering,CN,Engineering and construction,Asia,N,,,N,,,,,,,,C,the group,carbon neutrality,C,2050,2021,,,,U,2023,N,,,N,,,,,,,,,,1,1,,,,,,,,,,,,,1,,1,,,1,,,1,,,,
15,Toyota Motor,CN SBT,Automotive,Asia,N,,,Y,Targets Set,1.5Â°C/Well-below 2Â°C,2030,No,,01/11/2022,2022,V,"scope 1, 2, 3 (all categories)",carbon neutrality,V,2050,2024,,,,Y,2024,N,,,N,,,,,,,,,,1,1,,,,,,1,,1,,,,,1,,1,1,,1,,1,1,,,,
16,McKesson, SBT,Retail,North America,N,,,Y,Targets Set,1.5Â°C,2032,No,,01/01/2023,2023,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,1,,,,
17,Alphabet, NZ SBT,Technology,North America,N,,,N,Committed,,2030,No,,01/09/2022,2022,N,,,N,,,,,,,,V,operations and value chain,Net Zero,V,2030,2020,,,,Y,,,,,,,1,,1,,1,,1,,,,,1,,1,1,,1,,1,1,,1,,1
18,Cencora, SBT,Retail,North America,N,,,Y,Targets Set,1.5Â°C,2026,No,,01/11/2023,2023,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,,1,1,,,,
19,Trafigura Group,CN,Financial services,Asia,N,,,N,,,,,,,,C,operational Scope 1 and 2 ,carbon neutrality,C,2050,2022,,,,Y,2023,N,,,N,,,,,,,,,,1,1,,,,,,,,,,,,,1,,1,1,,1,,,1,,,,
20,Costco Wholesale,,Retail,North America,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,JPMorgan Chase,CN NZ,Financial services,North America,N,,,N,,,,,,,,C,operations,carbon neutrality,C,2020,2020,,,,Y,2023,C,"operations (scope 1, 2, plus business travel) ",Net Zero ,C,2050,2022,,,,Y,V,1,,,1,,,1,1,,,,,,,,,1,1,1,1,,1,1,1,1,,,,
22,Industrial & Commercial Bank of China,,Financial services,Asia,N,,,N,,,,,,,,G,the bank,carbon neutrality,G,2060,2021,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
