company,cn,nz
América Móvil,10000,01101
NTT,01110,00001
Orlen,-0100,-1011
POSCO Holdings,11010,00101
Panasonic Holdings,01000,10111
SK Group,00010,11101
abb,11-00,00-11
acs,01110,00001
aeon,10000,01111
alphabet,10000,01111
american express,10000,01111
arcelormittal,10100,01011
at&t,11110,00001
banco do brasil,11110,00000
basf,10000,01111
beijing automotive group,01101,00000
best buy,11000,00111
bmw group,11100,00011
boeing,00010,11100
bristol-myers squibb,11100,00011
british american tobacco,10000,01111
capital one financial,00110,00001
china baowu steel group,11110,00000
china datang,10000,00000
china national offshore oil,00110,00000
china post group,01000,00000
china telecommunications,10000,00000
chubb,01100,00000
citigroup,10000,00101
cma cgm,10---,01---
coop group,10000,01111
country garden holdings,100-0,000-0
credit agricole,00110,10001
crh,11000,00111
daiwa house industry,01000,10111
deutsche bank,11110,00001
dz bank,00-10,00-01
electricite de france,11000,00111
elo group,01000,00000
eni,00100,11011
general dynamics,01011,00000
groupe bpce,00110,11001
hitachi,11110,00001
hyundai mobis,01000,00111
hyundai motor,11011,00100
iberdrola,11000,00111
industrial & commercial bank of china,00100,00000
ing group,10000,01111
intel,10000,01111
jd.com,01000,00000
johnson & johnson,01000,10111
jpmorgan chase,11000,00111
kb financial group,01000,10111
kddi,00010,11101
kia,01101,00010
korea gas,--10-,--00-
kuehne + nagel international,-10--,-01--
la poste,10000,01111
magna international,11100,00011
mckesson,01000,00000
medtronic,100-0,011-1
merck,11110,00001
metlife,10000,01111
mitsubishi heavy industries,00100,01011
mitsubishi ufj financial group,00100,11011
mizuho financial group,10000,01111
nippon life insurance,10000,01111
oil & natural gas,01000,00101
pbf energy,--110,--000
petrobras,00110,01001
pfizer,10000,01111
phoenix pharma,00101,01010
procter & gamble,10000,01111
quanta computer,00110,00001
renault,11101,00010
saint-gobain,10000,01111
sanofi,10000,01111
sap,10000,01111
schneider electric,10000,01111
seven & i holdings,00100,11011
siemens,10000,01111
siemens energy,10101,01010
sinopec group,10001,00000
sncf group,11100,00010
softbank group,11100,00011
sony,01000,10111
state bank of india,11101,00010
state power investment,01000,00000
talanx,10000,01111
tencent holdings,01010,00101
thyssenkrupp,11110,00001
tokio marine holdings,10000,01111
tokyo electric power,01001,00100
totalenergies,00010,11101
toyota tsusho,11100,00011
vale,10000,01111
verizon communications,10000,01111
vinci,11110,00001
visa,---10,---01
volvo,00010,11101
walgreens boots alliance,01000,00010
wistron,001-0,000-1
world kinect,--100,--001
x5 retail group,11101,00000
zf friedrichshafen,11011,00100
