company,target,pattern,cc_pattern
3m,re100,1111-,0001-
América Móvil,nz,01101,00000
Bunge Global,sbti,00111,00000
COSCO Shipping,sbti,00111,00000
Cencora,sbti,00111,00000
DHL Group,sbti,00111,01001
Elevance Health,re100,11111,00101
GSK,re100,10111,00011
IBM,nz,11111,00011
Mercedes-Benz Group,sbti,00011,01010
Meta Platforms,sbti,00011,00011
NTT,sbti,00101,00101
Nestlé,re100,11111,0001-1
Nippon Steel,cn,11111,00111
Olam Group,sbti,11111,00010
Orlen,nz,-1011,-0000
POSCO Holdings,nz,00101,00001
Panasonic Holdings,re100,11111,00011
SK Group,re100,10001,01011
Shell,nz,11111,01011
Société Générale,cn,11111,00010
TD Synnex,sbti,00011,00001
abb,re100,11-11,01-10
abbott laboratories,nz,00001,00000
abbvie,sbti,00111,00010
accenture,re100,11111,00010
achmea,cn,1----,0----
acs,nz,00001,00101
aeon,re100,01111,0-1010
aia group,sbti,00-11,00-00
aig,nz,---1-,---0-
air france-klm group,sbti,---11,---01
air liquide,sbti,--1--,--0--
airbus,sbti,00111,00011
aisin,sbti,0001-,0-101-
albertsons,sbti,01111,00010
alibaba group holding,cn,01111,01110
alimentation couche-tard,cn,00011,00010
allianz,re100,11111,00111
allstate,nz,00111,01000
alphabet,sbti,00001,0111-1
amazon,nz,11111,00011
american airlines group,sbti,-1111,-1011
american express,re100,11111,00111
amgen,sbti,0---1,0---0
anglo american,cn,111--,000--
anheuser-busch inbev,re100,11111,00010
ansteel group,cn,00001,00000
anz group holdings,re100,---11,---01
apollo global management,cn,---1-,---1-
apple,re100,11111,01111
arcelormittal,nz,01011,01111
assicurazioni generali,nz,11111,01011
astrazeneca,re100,11111,00110
at&t,sbti,11111,00111
aviation industry corp. of china,nz,0101-,0001-
aviva,re100,11---,01---
axa,re100,11111,01111
bae systems,sbti,0---1,0---0
banco bilbao vizcaya argentaria,nz,11111,01111
banco bradesco,nz,11111,01111
banco santander,nz,11111,01111
bank of america,nz,11111,0-1111
bank of china,cn,00111,00101
bank of montreal,nz,1-111,0-111
bank of new york mellon,cn,---1-,---1-
bank of nova scotia,nz,01111,00011
barclays,re100,11111,01101
basf,nz,01111,01011
bayer,sbti,11111,01111
beijing automotive group,cn,01101,00000
best buy,sbti,11111,01011
bharat petroleum,nz,01111,00010
bhp group,nz,11111,01011
