company,re100,sbti,cn,nz,cc
3m,1111-,0000-,1111-,0000-,0001-
América Móvil,00000,11110,10000,01101,00000
Bunge Global,00000,00111,00000,00000,00000
COSCO Shipping,00000,00111,00000,00111,00000
Cencora,00000,00111,00000,00000,00000
DHL Group,00000,00111,00000,11111,01001
Elevance Health,11111,00001,00000,00111,00101
GSK,10111,11111,00000,11111,00011
IBM,00000,00000,00000,11111,00011
Mercedes-Benz Group,00000,00011,11110,00000,01010
Meta Platforms,11110,00011,00000,11111,00011
NTT,00000,00101,01110,00001,00101
Nestlé,11111,11111,00000,11111,0001-1
Nippon Steel,00000,00000,11110,00000,00111
Olam Group,00000,11111,00000,00011,00010
Orlen,-0000,-0000,-0100,-1011,-0000
POSCO Holdings,00000,00000,11010,00101,00001
Panasonic Holdings,11111,11111,01000,10111,00011
Paramount Global,000--,000--,000--,000--,000--
RTX,00000,00000,00000,00110,00010
Raízen,-0000,-0000,-0000,-0000,-0000
SK Group,10001,00000,00010,11101,01011
Shell,00000,00000,00000,11111,01011
Sinochem Holdings,0000-,0000-,0000-,0000-,0000-
Société Générale,00000,00000,11110,00000,00010
TD Synnex,00000,00011,00000,01111,00001
abb,11-11,11-11,11-00,00-11,01-10
abbott laboratories,00000,00110,00000,00001,00000
abbvie,00000,00111,00000,00010,00010
accenture,11111,11111,00000,11111,00010
achmea,0----,0----,1----,0----,0----
acs,00000,00000,01110,00001,00101
aeon,01111,01111,10000,01111,0-1010
agricultural bank of china,00000,00000,00001,00000,0000-1
aia group,00-00,00-11,00-00,01-11,00-00
aig,---0-,---0-,---0-,---1-,---0-
air france-klm group,---00,---11,---00,---11,---01
air liquide,--0--,--1--,--1--,--0--,--0--
airbus,00100,00111,00000,01110,00011
aisin,0000-,0001-,1111-,1000-,0-101-
albertsons,00000,01111,00000,00111,00010
alfresa holdings,0----,0----,0----,0----,0----
alibaba group holding,00000,00000,01110,00000,01110
alimentation couche-tard,00000,00000,00010,00000,00010
allianz,11111,00000,11000,11111,00111
allstate,00000,00000,00000,00111,01000
alphabet,11000,00001,11000,01111,0111-1
aluminum corp. of china,00000,00000,00001,00000,00000
amazon,00000,00000,00000,11111,00011
amer international group,000--,000--,000--,000--,000--
american airlines group,-0000,-1111,-0000,-1111,-1011
american express,11111,00001,11000,01111,00111
amgen,0---0,0---1,1---0,0---0,0---0
anglo american,000--,000--,111--,000--,000--
anheuser-busch inbev,11111,11111,00000,01111,00010
anhui conch group,000--,000--,000--,000--,0-10--
ansteel group,00000,00000,00000,00000,00000
anz group holdings,---11,---00,---00,---10,---01
apollo global management,---0-,---0-,---1-,---0-,---1-
apple,11111,11111,11110,10000,01111
arcelormittal,00000,00000,10100,01011,01111
archer daniels midland,00000,00000,00000,00000,00000
arrow electronics,0000-,0000-,0000-,0000-,0000-
assicurazioni generali,00000,00000,11000,11111,01011
astrazeneca,11111,01111,00000,11111,00110
at&t,00000,11111,11110,00001,00111
aviation industry corp. of china,0000-,0000-,0000-,0101-,0001-
aviva,11---,00---,11---,11---,01---
axa,11111,00000,11000,11111,01111
bae systems,0---0,0---1,0---0,1---1,0---0
banco bilbao vizcaya argentaria,11000,00000,11000,11111,01111
banco bradesco,00000,00000,11000,11111,01111
banco do brasil,00000,00000,11110,00000,01111
banco santander,00000,00000,11000,11111,01111
bank of america,11100,00000,11000,11111,0-1111
bank of china,00000,00000,00110,00000,00101
bank of communications,00000,00000,00000,00000,0-1000
bank of montreal,0-000,0-000,1-000,1-111,0-111
bank of new york (bny),----0,----0,----0,----0,----1
bank of new york mellon,---0-,---0-,---1-,---0-,---1-
bank of nova scotia,00000,00000,00000,01111,00011
barclays,11111,00000,01000,11111,01101
basf,00000,00000,10000,01111,01011
bayer,00000,11111,11000,11111,01111
beijing automotive group,00000,00000,01100,00000,00000
beijing jianlong heavy industry group,00000,00000,00001,00000,00000
berkshire hathaway,00000,00000,00000,00000,00000
best buy,00000,11111,11000,00111,01011
bharat petroleum,00000,00000,00000,01111,00010
bhp group,00000,00000,00000,11111,01011
bmw group,11111,11111,11100,00011,01111
bnp paribas,00000,00000,11110,11000,01011
boehringer ingelheim,0----,0----,0----,0----,0----
boeing,00000,00000,00010,11100,01011
bosch group,00000,00001,11110,00000,00111
bouygues,00000,00010,00000,00001,00000
bp,00000,00000,00000,11111,01011
bridgestone,000--,001--,111--,000--,0-10--
bristol-myers squibb,00000,00011,11100,00011,00110
british american tobacco,00000,11111,11000,01111,00110
broadcom,--000,--000,--000,--000,--000
brookfield,---00,---00,---00,---11,---01
brookfield asset management,000--,000--,000--,111--,0-10--
bt group,1----,1----,0----,1----,0----
byd,-0000,-0000,-0000,-0000,-0000
caixa economica federal,--000,--000,--001,--001,--001
canadian imperial bank of commerce,---00,---00,---00,---11,---11
canadian natural resources,--0--,--0--,--0--,--0--,--0--
canon,00---,00---,00---,11---,01---
capital one financial,11110,00000,00110,00001,01-1-1-1
cardinal health,00000,00011,00000,00000,00000
carmax,-00--,-00--,-00--,-11--,-10--
carrefour,00000,11111,01110,00000,00100
caterpillar,00000,00000,00000,00000,00000
cathay financial holding,00---,00---,00---,00---,00---
cbre group,----0,----1,----0,----1,----1
cenovus energy,-0000,-0000,-0000,-1111,-1001
centene,00000,00000,00000,00000,00000
centrica,0--0-,0--0-,0--0-,1--1-,0--0-
cfe,---00,---00,---00,---00,---00
charter communications,00000,00000,11110,00000,01000
chemchina,0----,0----,0----,0----,0----
chengdu xingcheng investment group,-00--,-00--,-00--,-00--,-00--
cheniere energy,--0--,--0--,--0--,--0--,--0--
chery holding group,0--00,0--00,0--00,0--00,0--00
chevron,00000,00000,00000,01111,00011
china aerospace science & industry,000--,000--,000--,000--,000--
china aerospace science & technology,00---,00---,00---,00---,00---
china baowu steel group,00000,00000,11111,00000,01001
china communications construction,00000,00000,00000,00000,0000-1
china construction bank,00000,00000,00001,00000,00000
china datang,00000,00000,10001,00000,00000
china electronics,00000,00000,00000,00000,00000
china electronics technology group,0000-,0000-,0000-,0000-,0000-
china energy engineering group,00000,00000,00000,00000,00000
china energy investment,00000,00000,00001,00000,00000
china everbright group,00---,00---,01---,00---,00---
china evergrande group,0----,0----,0----,0----,0----
china faw group,00000,00000,00001,00000,00000
china general technology,0---0,0---0,0---1,0---0,0---0
china huadian,00000,00000,00001,00000,00000
china huaneng group,00000,00000,00000,00000,00000
china life insurance,00000,00000,00001,00000,00000
china merchants bank,00000,00000,00000,00000,00000
china merchants group,000--,000--,000--,000--,000--
china minmetals,00000,00000,00001,00100,00000
china minsheng banking,00000,00000,00001,00000,00000
china national aviation fuel group,-0000,-0000,-0001,-0000,-000-1
china national building material group,00000,00000,00001,00010,00000
china national coal group,00000,00000,00001,00000,00000
china national nuclear,0000-,0000-,0000-,0000-,0000-
china national offshore oil,00000,00000,00110,00000,00011
china national petroleum,00000,00000,00001,11001,00000
china pacific insurance (group),00000,00000,00001,00000,00000
china post group,00000,00000,01000,00000,00000
china railway construction,00000,00000,00000,00000,00000
china reinsurance (group),0----,0----,0----,0----,0----
china resources,00000,00000,00000,00000,00000
china south industries group,00000,00000,00000,00000,00000
china southern power grid,00000,00000,00001,00000,00000
china state construction engineering,00000,00000,00010,00000,00000
china state shipbuilding,0000-,0000-,0000-,0000-,0000-
china taiping insurance group,000--,000--,000--,001--,000--
china telecommunications,00000,00000,10000,00000,00000
china united network communications,00000,00000,00001,00000,00000
china vanke,00000,00000,00001,00000,00100
christian dior,00000,00001,00000,00000,00000
chs,00000,00000,00000,00000,00000
chubb,00000,00000,01100,00000,01101
chubu electric power,0----,0----,0----,1----,0----
cigna,01111,00000,11110,00000,00010
cisco systems,00011,11111,00000,01111,00000
citigroup,00100,00000,10000,00101,00001
cj corp.,000--,000--,011--,000--,010--
ck hutchison holdings,00000,00110,00000,10111,00010
cma cgm,00---,00---,10---,01---,00---
coca-cola,00100,11111,00000,11111,00010
cofco,00000,00011,00000,00000,00000
coles group,00---,00---,00---,11---,00---
comcast,00000,00001,11110,00000,00101
commonwealth bank of australia,1--01,0--00,0--00,0--11,0--11
compal electronics,000--,000--,000--,011--,000--
compass group,0-000,0-111,0-000,0-111,0-011
conocophillips,-0000,-0000,-0000,-1111,-1011
contemporary amperex technology,--000,--000,--010,--000,--001
continental,11111,11111,11110,00000,01110
coop group,00000,00100,11000,01111,01000
costco wholesale,00000,00000,00000,00000,00000
country garden holdings,000-0,000-0,100-1,000-0,0-10-0
cpc,-0000,-0000,-0000,-0011,-0011
credit agricole,11111,00000,00110,10001,00111
credit suisse group,11---,00---,11---,11---,00---
crh,00000,01111,11000,00111,00000
crrc group,00000,00000,00110,00000,00000
crédit mutuel group,---00,---00,---00,---11,---01
cummins,---00,---11,---00,---11,---00
cvs health,00000,11111,01000,01111,00001
d.r. horton,--000,--000,--000,--000,--000
dai-ichi life holdings,00000,00000,00000,11111,00000
daimler truck holding,--000,--000,--110,--000,--001
daiwa house industry,11110,11111,01000,10111,00001
danaher,-00--,-00--,-00--,-00--,-00--
danone,11---,11---,11---,00---,01---
deere,00000,00111,00000,00001,00000
dell technologies,11111,11111,00000,11111,00010
delta air lines,-0000,-0111,-1000,-1111,-0011
denso,00000,00011,11110,00000,00111
deutsche bank,00001,11110,11110,00001,00101
deutsche telekom,11111,11111,11000,11111,00111
dollar general,00000,00000,00000,00000,00001
dollar tree,0----,0----,0----,0----,0----
dongfeng motor,00000,00000,00000,00000,00100
dow,00000,00000,11110,00000,01010
dsv,-00--,-11--,-00--,-01--,-00--
dz bank,00-00,00-00,00-10,00-01,00-11
e.on,00000,01111,11110,00000,0-1110
ecopetrol,--000,--000,--000,--111,--011
edeka zentrale,00000,00001,00000,00011,0-1000
electricite de france,00000,11111,11000,00111,0100-1
eli lilly,0--00,0--00,1--10,0--00,0--11
elo group,00000,00100,01000,00000,00000
emirates group,---00,---00,---00,---00,---00
enbridge,00000,00000,00000,11111,01011
enel,00000,11111,00000,11111,0-101-1
eneos holdings,00000,00000,11110,00000,00011
energi danmark group,--0--,--0--,--1--,--0--,--1--
energie baden-wurttemberg,-0000,-0111,-1110,-0000,-1111
energy transfer,00000,00000,00000,00000,00000
engie,00000,11111,00000,11111,0-1011
eni,00000,00000,10100,11011,00111
enterprise products partners,00000,00000,00000,00000,00000
equinor,00000,00000,11000,11111,00001
ericsson,0----,1----,1----,0----,0----
exelon,00---,00---,00---,11---,00---
exor group,0000-,0000-,0100-,0111-,0-111-
exxon mobil,00000,00000,00000,01111,00011
fairfax financial holdings,---00,---00,---00,---00,---00
fannie mae,00000,00000,00000,00000,00000
fedex,00000,00000,11110,00000,01000
financière de l'odet,0----,0----,1----,0----,0----
finatis,000--,000--,000--,000--,000--
flex,0----,1----,0----,0----,0----
fomento economico mexicano,--000,--000,--000,--000,--000
ford motor,00000,11111,11110,00000,00111
fortum,00---,00---,11---,00---,00---
freddie mac,00000,00000,00000,00000,00000
fresenius,000--,000--,001--,010--,000--
fubon financial holding,00---,00---,00---,00---,00---
fujitsu,11---,11---,00---,11---,01---
gasterra,--0--,--0--,--0--,--0--,--0--
gazprom,00000,00000,00000,00000,00001
ge vernova,----0,----0,----0,----1,----1
general dynamics,00000,00000,01010,00000,01000
general electric,0000-,0000-,1100-,1111-,0111-
general electric (ge aerospace),----0,----0,----0,----1,----1
general motors,11111,11111,11110,00000,00001
george weston,00000,00000,00000,01111,00010
gilead sciences,0----,1----,0----,0----,0----
glencore,00000,00000,00000,11111,0-1000
goldman sachs group,11111,00000,11000,11111,01111
gree electric appliances,00---,00---,00---,00---,00---
greenland holding group,00000,00000,00001,00000,00000
groupe bpce,00000,00000,00110,11001,0-1011
gs caltex,-0000,-0000,-0000,-0000,-0000
guangdong guangxin holdings,--000,--000,--000,--000,--000
guangxi investment group,00000,00000,00001,00000,00000
guangzhou automobile industry group,00000,00000,00110,00000,00010
guangzhou industrial investment holdings,--000,--000,--000,--000,--000
guangzhou municipal construction group,00000,00000,00000,00000,00000
guangzhou pharmaceutical holdings,00000,00000,00000,00000,00000
guidewell mutual holding,----0,----0,----0,----0,----0
haier smart home,00000,00000,00000,00101,00000
hailiang group,00-00,00-00,00-00,00-01,00-00
hangzhou industrial investment group,---00,---00,---00,---00,---00
hangzhou iron and steel group,-0000,-0000,-0000,-0000,-0000
hanwha,00000,00000,00000,00011,00011
hapag-lloyd,--0--,--0--,--1--,--0--,--0--
hbis group,00000,00000,11110,00000,00000
hca healthcare,00000,00000,00000,00011,00000
hd hyundai,--000,--000,--000,--000,--001
hdfc bank,---00,---00,---00,---00,---00
heineken,---11,---11,---00,---11,---01
hengli group,00000,00000,00001,00000,00000
heraeus holding,00---,00---,01---,00---,00---
hewlett packard enterprise,1----,1----,0----,1----,0----
hf sinclair,--0--,--0--,--0--,--0--,--0--
hitachi,00000,11111,11110,00001,00110
holcim,00---,01---,00---,11---,00---
home depot,01111,00011,00000,00000,00000
hon hai precision industry,00001,00111,00000,11111,00010
honda motor,00000,00000,11110,00000,01001
honeywell international,00000,00111,11110,00000,00101
hp,11111,11111,11000,11111,00111
hsbc holdings,11111,00000,00000,11111,00011
huawei investment & holding,00000,00000,00000,00000,00000
huayang new material technology group,0----,0----,0----,0----,0----
humana,00000,00011,00000,00000,00000
hunan iron & steel group,00000,00000,00001,00000,00000
hyundai mobis,01111,00001,01000,00111,00010
hyundai motor,11111,00000,11010,00100,01010
iberdrola,00000,11111,11000,00111,00-111
icici bank,----0,----0,----0,----0,----0
idemitsu kosan,00000,00000,11110,00000,00110
indian oil,00000,00000,00000,00111,00011
inditex,-0000,-1111,-0000,-1111,-0000
industrial & commercial bank of china,00000,00000,00101,00000,00001
industrial bank,00000,00000,00000,00000,00001
ing group,11111,01001,10000,01111,0011-1
ingram micro holding,----0,----1,----0,----0,----1
intel,11111,00000,10000,01111,0-1011
international airlines group,----0,----0,----0,----1,----1
intesa sanpaolo,00000,00001,00000,01111,01101
investor,-0---,-0---,-0---,-1---,-0---
itau unibanco holding,00000,00000,01000,01111,01111
itochu,00000,00000,11000,11111,01011
j. sainsbury,00000,11111,00000,11111,0-1000
jabil,0000-,0000-,0111-,0000-,0000-
japan post holdings,00000,00000,11110,00000,0-1000
jardine matheson,00000,00000,00000,00011,00000
jbs,00000,00000,00000,11111,0-1010
jd.com,00000,00000,01001,00000,01000
jerónimo martins,---00,---11,---00,---11,---01
jfe holdings,0000-,0000-,0111-,0000-,0000-
jiangsu shagang group,00000,00000,00001,00000,00000
jiangxi copper,00000,00000,00001,00000,00000
jinchuan group,00000,00000,00001,00000,00000
jinneng holding group,00000,00000,00000,00000,00000
johnson & johnson,11111,11111,11000,10111,00101
jpmorgan chase,11100,00000,11000,00111,00111
kansai electric power,0----,0----,0----,0----,0----
kb financial group,00111,01111,01000,10111,0-1010
kddi,01111,01111,00010,11101,00111
kia,01111,00000,01100,00010,00110
koc holding,00000,00000,11110,00000,00000
korea gas,--00-,--00-,--10-,--00-,--00-
kraft heinz,0----,0----,0----,0----,0----
kroger,00000,00000,00000,00000,00000
kuehne + nagel international,-00--,-11--,-10--,-01--,-00--
l'oreal,00000,11111,11000,11111,001-11
la poste,11001,11111,11000,01111,01100
landesbank baden-wurttemberg,---00,---00,---00,---11,---01
legal & general group,00---,00---,00---,11---,00---
lennar,--000,--000,--000,--000,--000
lenovo group,00000,11111,00000,01111,01010
lg chem,00000,00000,00000,01111,01111
lg electronics,00111,01111,11110,00000,00111
liberty mutual insurance group,00000,00000,00000,00000,0-1000
life insurance corp. of india,-0000,-0000,-0000,-0000,-0000
linde,00000,00111,00110,00000,00000
lithia motors,----0,----0,----0,----0,----1
lloyds banking group,11-11,00-00,00-00,11-11,01-11
lockheed martin,00000,00000,00000,00000,00000
longfor group holdings,000--,000--,000--,000--,001--
louis dreyfus,00000,00000,00000,00000,00001
lowe's,00000,00000,00000,01111,00000
lu'an chemical group,-00--,-00--,-00--,-00--,-00--
lufthansa group,--000,--011,--110,--000,--111
lukoil,00-00,00-00,00-00,00-10,00-00
luxshare precision industry,--000,--011,--110,--000,--100
lyondellbasell industries,00000,00000,00000,01111,01010
maersk group,00000,00011,10000,11111,01011
magna international,00000,00011,11100,00011,00101
magnit,--0-0,--0-1,--0-0,--0-1,--0-0
manulife financial,00---,00---,00---,11---,0-1---
mapfre group,0--00,0--00,1--10,0--00,0--01
marathon petroleum,00000,00000,00000,00000,00000
marubeni,00000,00000,00000,11111,00010
massachusetts mutual life insurance,-0000,-0000,-0000,-1111,-1001
mazda motor,0--00,0--00,0--10,0--00,0--01
mckesson,00000,00111,01000,00000,00000
medipal holdings,00---,00---,00---,00---,00---
medtronic,000-0,000-1,110-0,011-1,010-1
meiji yasuda life insurance,00000,00000,00000,11111,00010
meituan,--000,--000,--000,--000,--000
mercadona,-0-00,-0-00,-0-00,-0-00,-0-00
merck,00000,01111,11110,00001,01011
metlife,00000,00000,11000,01111,01111
metro,00000,11110,11110,00000,00000
microsoft,11111,11111,11010,11100,00111
midea group,00000,00000,00001,00000,0-1000
migros group,00000,01111,01000,01111,01111
mitsubishi,0-000,0-000,0-000,0-111,0-011
mitsubishi chemical holdings,000--,000--,011--,000--,010--
mitsubishi corp,-0---,-0---,-0---,-1---,-0---
mitsubishi electric,00000,11111,00000,11111,00000
mitsubishi heavy industries,00000,00000,00100,01011,01000
mitsubishi ufj financial group,00000,00000,10100,11011,00111
