company,sector,region,re100,sbti,cn,nz,cc
3m,Chemicals,North America,1111-,0000-,1111-,0000-,0001-
Bunge Global,,,00000,00111,00000,00000,00000
COSCO Shipping,,,00000,00111,00000,00111,00000
Cencora,,,00000,00111,00000,00000,00000
Elevance Health,,,11111,00001,00000,00111,00101
GSK,,,10111,11111,00000,11111,00011
Mercedes-Benz Group,,,00000,00011,11111,00000,01010
Meta Platforms,,,11110,00011,00000,11111,00011
Olam Group,,,00000,11111,00000,00011,00010
Paramount Global,,,000--,000--,000--,000--,000--
RTX,,,00000,00000,00000,00110,00010
Shell,,,00000,00000,00000,11111,01011
TD Synnex,,,00000,00011,00000,01111,00001
abb,Industrial goods,Europe,11-11,11-11,11-00,00-11,01-10
abbott laboratories,Health care and pharmaceuticals,North America,00000,00110,00000,00001,00000
abbvie,Health care and pharmaceuticals,North America,00000,00111,00000,00010,00010
accenture,Technology,Europe,11111,11111,00000,11111,00010
achmea,Financial services,Europe,0----,0----,1----,0----,0----
acs,Engineering and construction,Europe,00000,00000,01110,00001,00101
aeon,Retail,Asia,01111,01111,10000,01111,0-1010
agricultural bank of china,Financial services,Asia,00000,00000,00000,00000,0000-1
aia group,Financial services,Asia,00-00,00-11,00-00,01-11,00-00
aig,Financial services,North America,---0-,---0-,---0-,---1-,---0-
air france-klm group,Transportation and logistics,Europe,---00,---11,---00,---11,---01
air liquide,Chemicals,Europe,--0--,--1--,--1--,--0--,--0--
airbus,Aerospace and defense,Europe,00100,00111,00000,01110,00011
aisin,Automotive,Asia,0000-,0001-,1111-,1000-,0-101-
albertsons,Retail,North America,00000,01111,00000,00111,00010
alfresa holdings,Health care and pharmaceuticals,Asia,0----,0----,0----,0----,0----
alibaba group holding,Retail,Asia,00000,00000,01111,00000,01110
alimentation couche-tard,Retail,North America,00000,00000,00011,00000,00010
allianz,Financial services,Europe,11111,00000,11000,11111,00111
allstate,Financial services,North America,00000,00000,00000,00111,01000
alphabet,Retail,North America,11000,00001,11000,01111,0111-1
aluminum corp. of china,Metals and mining,Asia,00000,00000,00000,00000,00000
amazon,Retail,North America,00000,00000,00000,11111,00011
amer international group,Industrial goods,Asia,000--,000--,000--,000--,000--
america movil,Telecommunications and media,Other,---00,---10,---00,---01,---00
american airlines group,Transportation and logistics,North America,-0000,-1111,-0000,-1111,-1011
american express,Financial services,North America,11111,00001,11000,01111,00111
amgen,Health care and pharmaceuticals,North America,0---0,0---1,1---1,0---0,0---0
américa móvil,Telecommunications and media,North America,000--,111--,100--,011--,000--
anglo american,Energy and utilities,Other,000--,000--,111--,000--,000--
anheuser-busch inbev,"Food, beverages and agriculture",Europe,11111,11111,00000,01111,00010
anhui conch group,Industrial goods,Asia,000--,000--,000--,000--,0-10--
ansteel group,Metals and mining,Asia,00000,00000,00001,00000,00000
anz group holdings,Financial services,Other,---11,---00,---00,---10,---01
apollo global management,Financial services,North America,---0-,---0-,---1-,---0-,---1-
apple,Technology,North America,11111,11111,11111,10000,01111
arcelormittal,Metals and mining,Europe,00000,00000,10100,01011,01111
archer daniels midland,"Food, beverages and agriculture",North America,00000,00000,00000,00000,00000
arrow electronics,Retail,North America,0000-,0000-,0000-,0000-,0000-
assicurazioni generali,Financial services,Europe,00000,00000,11000,11111,01011
astrazeneca,Health care and pharmaceuticals,Europe,11111,01111,00000,11111,00110
at&t,Telecommunications and media,North America,00000,11111,11110,00001,00111
aviation industry corp. of china,Aerospace and defense,Asia,0000-,0000-,0000-,0101-,0001-
aviva,Financial services,Europe,11---,00---,11---,11---,01---
axa,Financial services,Europe,11111,00000,11000,11111,01111
bae systems,Aerospace and defense,Europe,0---0,0---1,0---0,1---1,0---0
banco bilbao vizcaya argentaria,Financial services,Europe,11000,00000,11000,11111,01111
banco bradesco,Financial services,Other,00000,00000,11000,11111,01111
banco do brasil,Financial services,Other,00000,00000,11110,00000,01111
banco santander,Financial services,Europe,00000,00000,11000,11111,01111
bank of america,Financial services,North America,11100,00000,11000,11111,0-1111
bank of china,Financial services,Asia,00000,00000,00111,00000,00101
bank of communications,Financial services,Asia,00000,00000,00000,00000,0-1000
bank of montreal,Financial services,North America,0-000,0-000,1-000,1-111,0-111
bank of new york (bny),Financial services,North America,----0,----0,----0,----0,----1
bank of new york mellon,Financial services,North America,---0-,---0-,---1-,---0-,---1-
bank of nova scotia,Financial services,North America,00000,00000,00000,01111,00011
barclays,Financial services,Europe,11111,00000,01000,11111,01101
