company,region_2021,sector_2021,re100_2021,sbti_2021,cn_2021,nz_2021,cc_2021,region_2022,sector_2022,re100_2022,sbti_2022,cn_2022,nz_2022,cc_2022,region_2023,sector_2023,re100_2023,sbti_2023,cn_2023,nz_2023,cc_2023,region_2024,sector_2024,re100_2024,sbti_2024,cn_2024,nz_2024,cc_2024,region_2025,sector_2025,re100_2025,sbti_2025,cn_2025,nz_2025,cc_2025
3m,North America,Chemicals,1.0,,1.0,,,North America,Chemicals,1.0,,1.0,,,North America,Chemicals,1.0,,1.0,,,North America,Chemicals,1.0,,1.0,,1.0,,,,,,,
abb,Europe,Industrial goods,1.0,1.0,1.0,,,Europe,Industrial goods,1.0,1.0,1.0,,1.0,,,,,,,,Europe,Industrial goods,1.0,1.0,,1.0,1.0,Europe,Industrial goods,1.0,1.0,,1.0,
abbott laboratories,North America,Health care and pharmaceuticals,,,,,,North America,Health care and pharmaceuticals,,,,,,North America,Health care and pharmaceuticals,,1.0,,,,North America,Health care and pharmaceuticals,,1.0,,,,North America,Health care and pharmaceuticals,,,,1.0,
abbvie,North America,Health care and pharmaceuticals,,,,,,North America,Health care and pharmaceuticals,,,,,,North America,Health care and pharmaceuticals,,1.0,,,,North America,Health care and pharmaceuticals,,1.0,,1.0,1.0,North America,Health care and pharmaceuticals,,1.0,,,
accenture,Other,Financial services,1.0,1.0,,1.0,,Europe,Financial services,1.0,1.0,,1.0,,Europe,Technology,1.0,1.0,,1.0,,Europe,Financial services,1.0,1.0,,1.0,1.0,Europe,Technology,1.0,1.0,,1.0,
achmea,Europe,Financial services,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acs,Europe,Engineering and construction,,,,,,Europe,Engineering and construction,,,1.0,,,Europe,Engineering and construction,,,1.0,,1.0,Europe,Engineering and construction,,,1.0,,,Europe,Engineering and construction,,,,1.0,1.0
aeon,Europe,Financial services,,,1.0,,,Asia,Retail,1.0,1.0,,1.0,-1.0,Asia,"Food, beverages and agriculture",1.0,1.0,,1.0,,Asia,Retail,1.0,1.0,,1.0,1.0,Asia,Retail,1.0,1.0,,1.0,
agricultural bank of china,Asia,Financial services,,,,,,Asia,Financial services,,,,,,Asia,Financial services,,,,,,Asia,Financial services,,,,,,Asia,Financial services,,,,,-1.0
aia group,Asia,Financial services,,,,,,Asia,Financial services,,,,1.0,,,,,,,,,Asia,Financial services,,1.0,,1.0,,Asia,Financial services,,1.0,,1.0,
airbus,Europe,Aerospace and defense,,,,,,Europe,Aerospace and defense,,,,1.0,,Europe,Aerospace and defense,1.0,1.0,,1.0,,Europe,Aerospace and defense,,1.0,,1.0,1.0,Europe,Aerospace and defense,,1.0,,,1.0
aisin,Asia,Automotive,,,1.0,1.0,,Asia,Automotive,,,1.0,,-1.0,Asia,Automotive,,,1.0,,,Asia,Automotive,,1.0,1.0,,1.0,,,,,,,
albertsons,North America,"Food, beverages and agriculture",,,,,,North America,Retail,,1.0,,,,North America,"Food, beverages and agriculture",,1.0,,1.0,,North America,Retail,,1.0,,1.0,1.0,North America,Retail,,1.0,,1.0,
