company,sector,nz_2024,nz_2025,gained_nz,lost_nz
ABB,Industrial goods,1.0,1.0,False,False
ACS,Engineering and construction,0.0,1.0,True,False
AEON,Retail,1.0,1.0,False,False
AIA Group,Financial services,1.0,1.0,False,False
ANZ Group Holdings,Financial services,1.0,0.0,False,True
AT&T,Telecommunications and media,0.0,1.0,True,False
AXA,Financial services,1.0,1.0,False,False
AbbVie,Health care and pharmaceuticals,1.0,0.0,False,True
Abbott Laboratories,Health care and pharmaceuticals,0.0,1.0,True,False
Accenture,Financial services,1.0,,False,False
Accenture,Technology,,1.0,False,False
Agricultural Bank of China,Financial services,0.0,0.0,False,False
Air France-KLM Group,Transportation and logistics,1.0,1.0,False,False
Airbus,Aerospace and defense,1.0,0.0,False,True
Albertsons,Retail,1.0,1.0,False,False
Alibaba Group Holding,Retail,0.0,0.0,False,False
Alimentation Couche-Tard,Retail,0.0,0.0,False,False
Allianz,Financial services,1.0,1.0,False,False
Allstate,Financial services,1.0,1.0,False,False
Alphabet,Retail,,1.0,False,False
Alphabet,Technology,1.0,,False,False
Aluminum Corp. of China,Metals and mining,0.0,0.0,False,False
Amazon,Retail,1.0,1.0,False,False
America Movil,Telecommunications and media,0.0,1.0,True,False
American Airlines Group,Transportation and Logistics,1.0,,False,False
American Airlines Group,Transportation and logistics,,1.0,False,False
American Express,Financial services,1.0,1.0,False,False
Anheuser-Busch InBev,"Food, beverages and agriculture",1.0,1.0,False,False
Ansteel Group,Metals and mining,0.0,0.0,False,False
Apple,Technology,0.0,0.0,False,False
ArcelorMittal,Metals and mining,1.0,1.0,False,False
Archer Daniels Midland,"Food, beverages and agriculture",0.0,0.0,False,False
Assicurazioni Generali,Financial services,1.0,1.0,False,False
AstraZeneca,Health care and pharmaceuticals,1.0,1.0,False,False
BASF,Chemicals,1.0,1.0,False,False
BHP Group,Metals and mining,1.0,1.0,False,False
BMW Group,Automotive,1.0,1.0,False,False
BNP Paribas,Financial services,0.0,0.0,False,False
BP,Oil and gas,1.0,1.0,False,False
BYD,Automotive,0.0,0.0,False,False
Banco Bilbao Vizcaya Argentaria,Financial services,1.0,1.0,False,False
Banco Bradesco,Financial services,1.0,1.0,False,False
Banco Santander,Financial services,1.0,1.0,False,False
Banco do Brasil,Financial services,0.0,0.0,False,False
Bank of America,Financial services,1.0,1.0,False,False
Bank of China,Financial services,0.0,0.0,False,False
Bank of Communications,Financial services,0.0,0.0,False,False
Bank of Montreal,Financial services,1.0,1.0,False,False
Bank of Nova Scotia,Financial services,1.0,1.0,False,False
Barclays,Financial services,1.0,1.0,False,False
Bayer,Chemicals,,1.0,False,False
Bayer,Health care and pharmaceuticals,1.0,,False,False
Beijing Automotive Group,Automotive,0.0,0.0,False,False
Beijing Jianlong Heavy Industry Group,Metals and mining,0.0,0.0,False,False
Berkshire Hathaway,Financial services,0.0,0.0,False,False
Best Buy,Retail,1.0,1.0,False,False
Bharat Petroleum,Oil and gas,1.0,1.0,False,False
Boeing,Aerospace and defense,0.0,0.0,False,False
Bosch Group,Automotive,0.0,0.0,False,False
Bouygues,Engineering and construction,0.0,1.0,True,False
Bristol-Myers Squibb,Health care and pharmaceuticals,1.0,1.0,False,False
British American Tobacco,"Food, beverages and agriculture",1.0,,False,False
British American Tobacco,Household and personal products,,1.0,False,False
Broadcom,Technology,0.0,0.0,False,False
Brookfield,Financial services,1.0,1.0,False,False
CFE,Energy and utilities,,0.0,False,False
CFE,Industrial goods,0.0,,False,False
CHS,"Food, beverages and agriculture",0.0,0.0,False,False
CITIC Group,Financial services,0.0,0.0,False,False
CK Hutchison Holdings,Retail,1.0,1.0,False,False
COFCO,Financial services,0.0,0.0,False,False
COSCO Shipping,Transportation and logistics,1.0,1.0,False,False
CPC,Oil and gas,1.0,1.0,False,False
CRH,Industrial goods,1.0,1.0,False,False
CRRC Group,Industrial goods,0.0,0.0,False,False
CVS Health,Health care and pharmaceuticals,1.0,1.0,False,False
Canadian Imperial Bank of Commerce,Financial services,1.0,1.0,False,False
Capital One Financial,Financial services,0.0,1.0,True,False
Cardinal Health,Health care and pharmaceuticals,,0.0,False,False
Cardinal Health,Retail,0.0,,False,False
Carrefour,Retail,0.0,0.0,False,False
Caterpillar,Engineering and construction,,0.0,False,False
Caterpillar,Industrial goods,0.0,,False,False
Cencora,Health care and pharmaceuticals,,0.0,False,False
Cencora,Retail,0.0,,False,False
Cenovus Energy,Metals and mining,1.0,1.0,False,False
Centene,Health care and pharmaceuticals,0.0,0.0,False,False
Charter Communications,Telecommunications and media,0.0,0.0,False,False
Chery Holding Group,Automotive,0.0,0.0,False,False
Chevron,Oil and gas,1.0,1.0,False,False
China Baowu Steel Group,Metals and mining,0.0,0.0,False,False
China Communications Construction,Engineering and construction,0.0,0.0,False,False
China Construction Bank,Financial services,0.0,0.0,False,False
China Datang,Energy and utilities,0.0,0.0,False,False
China Electronics,Industrial goods,0.0,,False,False
China Electronics,Technology,,0.0,False,False
