Company,2021_Status,2022_Status,2023_Status,2024_Status,2025_Status
Walmart,NT:T,NT:T+NZ:C,NT:T+NZ:C,NT:T+NZ:C,NT:T
Amazon,NT:C,NT:C,No Commitment,NZ:C,No Commitment
State Grid,No Commitment,No Commitment,No Commitment,No Commitment,No Commitment
Saudi Aramco,No Commitment,No Commitment,No Commitment,No Commitment,No Commitment
China National Petroleum,No Commitment,No Commitment,No Commitment,No Commitment,No Commitment
Sinopec Group,No Commitment,No Commitment,No Commitment,No Commitment,No Commitment
UnitedHealth Group,No Commitment,No Commitment,NT:C+NZ:C,NT:C+NZ:C,NT:T+NZ:C
Apple,NT:T,NT:T+NZ:C,NT:T,NT:T+NZ:C,NT:T
CVS Health,NT:T,NT:T+NZ:T,NT:T+NZ:T,NT:T+NZ:T,NT:T+NZ:T
Berkshire Hathaway,No Commitment,No Commitment,No Commitment,No Commitment,No Commitment
McKesson,NT:C,NT:C,NT:T,NT:T+NZ:C,NT:T
Volkswagen,NT:T,NT:T+NZ:C,NT:T,NT:T+NZ:C,NT:T
Alphabet,No Commitment,NZ:C,NT:C,NT:C+NZ:C,NT:T
Exxon Mobil,No Commitment,No Commitment,No Commitment,No Commitment,No Commitment
Toyota Motor,No Commitment,No Commitment,NT:T,NT:T+NZ:C,NT:T
China State Construction Engineering,No Commitment,No Commitment,No Commitment,No Commitment,No Commitment
Cencora,No Commitment,No Commitment,No Commitment,NT:T+NZ:C,NT:T
Shell,No Commitment,No Commitment,No Commitment,No Commitment,No Commitment
JPMorgan Chase,No Commitment,NZ:C,No Commitment,No Commitment,No Commitment
Costco Wholesale,No Commitment,No Commitment,No Commitment,No Commitment,No Commitment
Cigna,No Commitment,No Commitment,No Commitment,NT:C+NZ:C,NT:C
Microsoft,NT:T,NT:T,NT:T+NZ:C,NT:T+NZ:C,NT:T
Trafigura Group,No Commitment,NZ:C,No Commitment,No Commitment,No Commitment
Glencore,No Commitment,No Commitment,No Commitment,No Commitment,No Commitment
Cardinal Health,No Commitment,NT:C,NT:C,NT:T+NZ:C,NT:T
Industrial & Commercial Bank of China,No Commitment,No Commitment,No Commitment,No Commitment,No Commitment
Samsung Electronics,No Commitment,No Commitment,No Commitment,No Commitment,No Commitment
Hon Hai Precision Industry,NT:C,NT:C,NT:T+NZ:C,NT:T+NZ:T,NT:T+NZ:T
Chevron,No Commitment,No Commitment,No Commitment,No Commitment,No Commitment
Agricultural Bank of China,No Commitment,No Commitment,No Commitment,No Commitment,No Commitment
China Construction Bank,No Commitment,No Commitment,No Commitment,No Commitment,No Commitment
TotalEnergies,No Commitment,NZ:C,No Commitment,No Commitment,No Commitment
BP,No Commitment,NZ:C,No Commitment,No Commitment,No Commitment
Bank of America,No Commitment,No Commitment,No Commitment,No Commitment,No Commitment
General Motors,NT:T,NT:T+NZ:C,NT:T+NZ:C,NT:T+NZ:C,NT:T
Ford Motor,NT:T,NT:T+NZ:C,NT:T+NZ:C,NT:T+NZ:C,NT:T
Elevance Health,No Commitment,NT:C+NZ:C,No Commitment,No Commitment,NT:T
Bank of China,No Commitment,No Commitment,No Commitment,No Commitment,No Commitment
Citigroup,No Commitment,NZ:C,No Commitment,No Commitment,No Commitment
Stellantis,No Commitment,No Commitment,No Commitment,No Commitment,No Commitment
Meta Platforms,No Commitment,NT:C,NT:C+NZ:C,NT:T+NZ:C,NT:T+NZ:C
Centene,No Commitment,No Commitment,No Commitment,No Commitment,No Commitment
China Railway Engineering Group,No Commitment,No Commitment,No Commitment,No Commitment,No Commitment
JD.com,No Commitment,No Commitment,No Commitment,No Commitment,No Commitment
China Life Insurance,No Commitment,No Commitment,No Commitment,No Commitment,No Commitment
Home Depot,NT:C,NT:C+NZ:C,NT:C,NT:T+NZ:C,NT:T
Ping An Insurance,No Commitment,No Commitment,No Commitment,No Commitment,No Commitment
Mercedes-Benz Group,No Commitment,No Commitment,No Commitment,NT:T+NZ:C,NT:T
BMW Group,NT:T,NT:T+NZ:C,NT:T+NZ:C,NT:T+NZ:C,NT:T
Fannie Mae,No Commitment,No Commitment,No Commitment,No Commitment,No Commitment
