company,pattern,first_1_pos,zero_pos,regained_1_pos
América Móvil,01101,1,3,4
Orlen,-1011,1,2,3
POSCO Holdings,00101,2,3,4
Panasonic Holdings,10111,0,1,2
SK Group,11101,0,3,4
arcelormittal,01011,1,2,3
aviation industry corp. of china,0101-,1,2,3
china national petroleum,11001,0,2,4
citigroup,00101,2,3,4
ck hutchison holdings,10111,0,1,2
credit agricole,10001,0,1,4
daiwa house industry,10111,0,1,2
eni,11011,0,2,3
groupe bpce,11001,0,2,4
haier smart home,00101,2,3,4
johnson & johnson,10111,0,1,2
kb financial group,10111,0,1,2
kddi,11101,0,3,4
mitsubishi heavy industries,01011,1,2,3
mitsubishi ufj financial group,11011,0,2,3
mitsui,11101,0,3,4
oil & natural gas,00101,2,3,4
pertamina,00101,2,3,4
petrobras,01001,1,2,4
phoenix pharma,01010,1,2,3
prudential financial,10111,0,1,2
reliance industries,10111,0,1,2
seven & i holdings,11011,0,2,3
siemens energy,01010,1,2,3
sony,10111,0,1,2
suncor energy,-1101,1,3,4
taiwan semiconductor manufacturing,10111,0,1,2
tata motors,10101,0,1,2
tencent holdings,00101,2,3,4
totalenergies,11101,0,3,4
volvo,11101,0,3,4
