year,company ,region,sector ,re100,sbti,cn,nz,cc,,,
2021,3M,North America,Chemicals,1,,1,,,,,
2021,ABB,Europe,Industrial goods,1,1,1,,,,,
2021,Abbott Laboratories,North America,Health care and pharmaceuticals,,,,,,,,
2021,AbbVie,North America,Health care and pharmaceuticals,,,,,,,,
2021,Accenture,Other,Financial services,1,1,,1,,,,
2021,Achmea,Europe,Financial services,,,1,,,,,
2021,ACS,Europe,Engineering and construction,,,,,,,,
2021,Aegon,Europe,Financial services,,,1,,,,,
2021,AEON,Asia,"Food, beverages and agriculture",1,1,,1,,,,
2021,Agricultural Bank of China,Asia,Financial services,,,,,,,,
2021,AIA Group,Asia,Financial services,,,,,,,,
2021,Airbus,Europe,Aerospace and defense,,,,,,,,
2021,Aisin,Asia,Automotive,,,1,1,,,,
2021,Albertsons,North America,"Food, beverages and agriculture",,,,,,,,
2021,Alfresa Holdings,Asia,Health care and pharmaceuticals,,,,,,,,
2021,Alibaba Group Holding,Asia,Technology,,,,,,,,
2021,Alimentation Couche-Tard,North America,Retail,,,,,,,,
2021,Allianz,Europe,Financial services,1,,1,1,,,,
2021,Allstate,North America,Financial services,,,,,,,,
2021,Alphabet,North America,Technology,1,,1,,,,,
2021,Aluminum Corp. of China,Asia,Metals and mining,,,,,,,,
2021,Amazon,North America,Retail,,,,1,,,,
2021,Amer International Group,Asia,Industrial goods,,,,,,,,
2021,América Móvil,North America,Retail,,1,1,,,,,
2021,American Express,North America,Financial services,1,,1,,,,,
2021,American International Group,North America,Financial services,,,,1,,,,
2021,AmerisourceBergen,North America,Health care and pharmaceuticals,,,,,,,,
2021,Amgen,North America,Health care and pharmaceuticals,,,1,,,,,
2021,Anglo American,Other,Industrial goods,,,1,,,,,
2021,Anheuser-Busch InBev,Other,"Food, beverages and agriculture",1,1,,,,,,
2021,Anhui Conch Group,Asia,Industrial goods,,,,,,,,
2021,Ansteel Group,Asia,Industrial goods,,,,,,,,
2021,Anthem,North America,Health care and pharmaceuticals,1,,,,,,,
2021,Apple,North America,Technology,1,1,1,1,,,,
2021,ArcelorMittal,Other,Industrial goods,,,1,,,,,
2021,Archer Daniels Midland,North America,"Food, beverages and agriculture",,,,,,,,
2021,Arrow Electronics,North America,Technology,,,,,,,,
2021,Assicurazioni Generali,Europe,Financial services,,,1,1,,,,
2021,AstraZeneca,Europe,Health care and pharmaceuticals,1,,,1,,,,
2021,AT&T,North America,Telecommunications and media,,1,1,,,,,
2021,Aviation Industry Corp. of China,Asia,Aerospace and defense,,,,,,,,
2021,Aviva,Europe,Financial services,1,,1,1,,,,
2021,AXA,Europe,Financial services,1,,1,1,,,,
2021,BAE Systems,Europe,Aerospace and defense,,,,1,,,,
2021,Banco Bilbao Vizcaya Argentaria,Europe,Financial services,1,,1,1,,,,
2021,Banco Bradesco,Other,Financial services,,,1,1,,,,
2021,Banco do Brasil,Other,Financial services,,,1,,,,,
2021,Banco Santander,Europe,Financial services,,,1,1,,,,
2021,Bank of America,North America,Financial services,1,,1,1,,,,
2021,Bank of China,Asia,Financial services,,,,,,,,
2021,Bank of Communications,Asia,Financial services,,,,,,,,
2021,Bank of Montreal,North America,Financial services,,,1,1,,,,
2021,Bank of Nova Scotia,North America,Financial services,,,,,,,,
2021,Barclays,Europe,Financial services,1,,,1,,,,
2021,BASF,Europe,Chemicals,,,1,,,,,
2021,Bayer,Europe,Health care and pharmaceuticals,,1,1,1,,,,
2021,Beijing Automotive Group,Asia,Automotive,,,,,,,,
2021,Beijing Jianlong Heavy Industry Group,Asia,Industrial goods,,,,,,,,
2021,Berkshire Hathaway,North America,Financial services,,,,,,,,
2021,Best Buy,North America,Retail,,1,1,,,,,
