company,cn,nz
abb,11-00,00-10
aeon,10000,01110
alibaba group holding,01110,00001
alimentation couche-tard,00010,00001
allianz,11000,11110
alphabet,11000,01110
américa móvil,100--,011--
american express,11000,01110
amgen,1---0,0---1
apple,11110,10001
arcelormittal,10100,01010
assicurazioni generali,11000,11110
axa,11000,11110
banco bilbao vizcaya argentaria,11000,11110
banco bradesco,11000,11110
banco santander,11000,11110
bank of america,11000,11110
bank of china,00110,00001
bank of montreal,1-000,1-110
barclays,01000,11110
basf,10000,01110
bayer,11000,11110
beijing automotive group,01100,00001
best buy,11000,00110
bmw group,11100,00010
bnp paribas,11110,11001
bosch group,11110,00001
bristol-myers squibb,11100,00010
british american tobacco,11000,01110
carrefour,01110,00001
charter communications,11110,00001
china state construction engineering,00010,00001
cigna,11110,00001
citigroup,10000,00100
cma cgm,10---,01---
comcast,11110,00001
continental,11110,00001
coop group,11000,01110
crh,11000,00110
crrc group,00110,00001
cvs health,01000,01110
daiwa house industry,01000,10110
denso,11110,00001
deutsche telekom,11000,11110
dow,11110,00001
e.on,11110,00001
electricite de france,11000,00110
eli lilly,1--10,0--01
eneos holdings,11110,00001
eni,10100,11010
equinor,11000,11110
exor group,0100-,0111-
fedex,11110,00001
ford motor,11110,00001
general dynamics,01010,00001
general electric,1100-,1111-
general motors,11110,00001
goldman sachs group,11000,11110
guangzhou automobile industry group,00110,00001
hbis group,11110,00001
honda motor,11110,00001
honeywell international,11110,00001
hp,11000,11110
hyundai mobis,01000,00110
hyundai motor,11010,00101
iberdrola,11000,00110
idemitsu kosan,11110,00001
ing group,10000,01110
intel,10000,01110
itau unibanco holding,01000,01110
itochu,11000,11110
japan post holdings,11110,00001
johnson & johnson,11000,10110
jpmorgan chase,11000,00110
kb financial group,01000,10110
kia,01100,00011
koc holding,11110,00001
tokyo electric power,01000,00101
la poste,11000,01110
lg electronics,11110,00001
linde,00110,00001
l'oreal,11000,11110
maersk group,10000,11110
magna international,11100,00010
mapfre group,1--10,0--01
mazda motor,0--10,0--01
medtronic,110-0,011-0
metlife,11000,01110
metro,11110,00001
microsoft,11010,11101
migros group,01000,01110
mitsubishi heavy industries,00100,01010
mitsubishi ufj financial group,10100,11010
mitsui,10000,11100
mizuho financial group,11000,01110
morgan stanley,11000,11110
munich re group,11000,11110
nippon life insurance,10000,01110
nissan motor,11110,00001
novartis,11000,11110
oil & natural gas,01000,00100
oracle,01000,01110
pfizer,11000,01110
philip morris international,11000,11110
phoenix group holdings,10---,11---
phoenix pharma,00100,01011
ping an insurance,01110,00001
posco,110--,001--
procter & gamble,11000,01110
prudential financial,10000,10110
renault,11100,00011
rosneft oil,00-10,01-01
royal bank of canada,11000,11110
saint-gobain,10000,01110
sanofi,11000,01110
sap,11000,01110
sberbank,11110,00001
schneider electric,11000,01110
seven & i holdings,00100,11010
siemens,11000,01110
siemens energy,11100,01011
sinopec group,10000,00001
sncf group,11101,00010
softbank group,11100,00010
sony,01000,10110
state bank of india,11100,00011
sumitomo,11110,00001
suzuki motor,00110,01001
swiss re,11000,11110
talanx,10000,01110
tencent holdings,01010,00100
tokio marine holdings,11000,01110
toronto-dominion bank,11000,11110
toyota motor,11110,00001
toyota tsusho,11100,00010
trafigura group,00110,00001
travelers,11110,00001
ubs group,11000,11110
united parcel service,11110,00001
vale,10000,01110
valero energy,11110,00001
verizon communications,10000,01110
volkswagen,11110,00001
volvo,11010,11100
walgreens boots alliance,01000,00010
wells fargo,11000,11110
x5 retail group,11100,00001
xiaomi,00010,00001
zf friedrichshafen,11010,00101
zhejiang geely holding group,01110,00001
zijin mining group,01110,00001
zurich insurance group,11000,11110
mercedes-benz group,-1110,-0001
panasonic holdings,-1000,-0110
energie baden-wurttemberg,-1110,-0001
kuehne + nagel international,-10--,-01--
delta air lines,-1000,-1110
uniper,--110,--001
daimler truck holding,--110,--001
contemporary amperex technology,--010,--001
lufthansa group,--110,--001
tongwei group,--110,--001
luxshare precision industry,--110,--001
societe generale,---10,---01
