company,cn,nz
banco do brasil,11110,00000
beijing automotive group,01101,00000
boeing,00010,11100
china baowu steel group,11110,00000
china datang,10000,00000
china national offshore oil,00110,00000
china post group,01000,00000
china telecommunications,10000,00000
chubb,01100,00000
country garden holdings,100-0,000-0
elo group,01000,00000
general dynamics,01011,00000
industrial & commercial bank of china,00100,00000
jd.com,01000,00000
korea gas,--10-,--00-
mckesson,01000,00000
pbf energy,--110,--000
sinopec group,10001,00000
state power investment,01000,00000
x5 retail group,11101,00000
