Company,NT_2021,NZ_2021,NT_2022,NZ_2022,NT_2023,NZ_2023,NT_2024,NZ_2024,NT_2025,NZ_2025,First_NT_Year,First_NZ_Year,Pathway,Years_Between
Walmart,T,None,T,C,T,C,T,C,T,None,2021,2022,NT first → NZ later,1
Amazon,C,None,C,None,None,None,None,C,None,None,2021,2024,NT first → NZ later,3
State Grid,None,None,None,None,None,None,None,None,None,None,,,No commitment,
Saudi Aramco,None,None,None,None,None,None,None,None,None,None,,,No commitment,
China National Petroleum,None,None,None,None,None,None,None,None,None,None,,,No commitment,
Sinopec Group,None,None,None,None,None,None,None,None,None,None,,,No commitment,
UnitedHealth Group,None,None,None,None,C,C,C,C,T,C,2023,2023,NT and NZ same year,0
Apple,T,None,T,C,T,None,T,C,T,None,2021,2022,NT first → NZ later,1
CVS Health,T,None,T,T,T,T,T,T,T,T,2021,2022,NT first → NZ later,1
Berkshire Hathaway,None,None,None,None,None,None,None,None,None,None,,,No commitment,
McKesson,C,None,C,None,T,None,T,C,T,None,2021,2024,NT first → NZ later,3
Volkswagen,T,None,T,C,T,None,T,C,T,None,2021,2022,NT first → NZ later,1
Alphabet,None,None,None,C,C,None,C,C,T,None,2023,2022,NZ first → NT later,1
Exxon Mobil,None,None,None,None,None,None,None,None,None,None,,,No commitment,
Toyota Motor,None,None,None,None,T,None,T,C,T,None,2023,2024,NT first → NZ later,1
China State Construction Engineering,None,None,None,None,None,None,None,None,None,None,,,No commitment,
Cencora,None,None,None,None,None,None,T,C,T,None,2024,2024,NT and NZ same year,0
Shell,None,None,None,None,None,None,None,None,None,None,,,No commitment,
JPMorgan Chase,None,None,None,C,None,None,None,None,None,None,,2022,NZ only (no NT),
Costco Wholesale,None,None,None,None,None,None,None,None,None,None,,,No commitment,
Cigna,None,None,None,None,None,None,C,C,C,None,2024,2024,NT and NZ same year,0
Microsoft,T,None,T,None,T,C,T,C,T,None,2021,2023,NT first → NZ later,2
Trafigura Group,None,None,None,C,None,None,None,None,None,None,,2022,NZ only (no NT),
Glencore,None,None,None,None,None,None,None,None,None,None,,,No commitment,
Cardinal Health,None,None,C,None,C,None,T,C,T,None,2022,2024,NT first → NZ later,2
Industrial & Commercial Bank of China,None,None,None,None,None,None,None,None,None,None,,,No commitment,
Samsung Electronics,None,None,None,None,None,None,None,None,None,None,,,No commitment,
Hon Hai Precision Industry,C,None,C,None,T,C,T,T,T,T,2021,2023,NT first → NZ later,2
Chevron,None,None,None,None,None,None,None,None,None,None,,,No commitment,
Agricultural Bank of China,None,None,None,None,None,None,None,None,None,None,,,No commitment,
China Construction Bank,None,None,None,None,None,None,None,None,None,None,,,No commitment,
TotalEnergies,None,None,None,C,None,None,None,None,None,None,,2022,NZ only (no NT),
BP,None,None,None,C,None,None,None,None,None,None,,2022,NZ only (no NT),
Bank of America,None,None,None,None,None,None,None,None,None,None,,,No commitment,
General Motors,T,None,T,C,T,C,T,C,T,None,2021,2022,NT first → NZ later,1
Ford Motor,T,None,T,C,T,C,T,C,T,None,2021,2022,NT first → NZ later,1
Elevance Health,None,None,C,C,None,None,None,None,T,None,2022,2022,NT and NZ same year,0
Bank of China,None,None,None,None,None,None,None,None,None,None,,,No commitment,
Citigroup,None,None,None,C,None,None,None,None,None,None,,2022,NZ only (no NT),
Stellantis,None,None,None,None,None,None,None,None,None,None,,,No commitment,
Meta Platforms,None,None,C,None,C,C,T,C,T,C,2022,2023,NT first → NZ later,1
Centene,None,None,None,None,None,None,None,None,None,None,,,No commitment,
China Railway Engineering Group,None,None,None,None,None,None,None,None,None,None,,,No commitment,
JD.com,None,None,None,None,None,None,None,None,None,None,,,No commitment,
China Life Insurance,None,None,None,None,None,None,None,None,None,None,,,No commitment,
Home Depot,C,None,C,C,C,None,T,C,T,None,2021,2022,NT first → NZ later,1
Ping An Insurance,None,None,None,None,None,None,None,None,None,None,,,No commitment,
Mercedes-Benz Group,None,None,None,None,None,None,T,C,T,None,2024,2024,NT and NZ same year,0
BMW Group,T,None,T,C,T,C,T,C,T,None,2021,2022,NT first → NZ later,1
Fannie Mae,None,None,None,None,None,None,None,None,None,None,,,No commitment,
China Railway Construction,None,None,None,None,None,None,None,None,None,None,,,No commitment,
Walgreens Boots Alliance,None,None,None,C,None,None,None,None,None,None,,2022,NZ only (no NT),
Kroger,None,None,None,C,C,None,None,C,None,None,2023,2022,NZ first → NT later,1
BNP Paribas,C,None,C,None,C,None,C,C,C,None,2021,2024,NT first → NZ later,3
Banco Santander,None,None,None,None,None,None,None,None,None,None,,,No commitment,
HSBC Holdings,C,None,C,None,None,None,None,None,None,None,2021,,NT only (no NZ),
Phillips 66,None,None,None,None,None,None,None,None,None,None,,,No commitment,
China Mobile Communications,None,None,None,None,None,None,None,None,None,None,,,No commitment,
Honda Motor,None,None,None,C,None,None,None,None,None,None,,2022,NZ only (no NT),
Marathon Petroleum,None,None,None,None,None,None,None,None,None,None,,,No commitment,
China Communications Construction,None,None,None,None,None,None,None,None,None,None,,,No commitment,
CITIC Group,None,None,None,None,None,None,None,None,None,None,,,No commitment,
Alibaba Group Holding,None,None,C,None,C,C,C,C,None,None,2022,2023,NT first → NZ later,1
Verizon Communications,T,None,T,C,T,None,T,C,None,None,2021,2022,NT first → NZ later,1
China National Offshore Oil,None,None,None,None,None,None,None,None,None,None,,,No commitment,
Nvidia,None,None,None,None,None,None,None,None,T,None,2025,,NT only (no NZ),
China Resources,None,None,None,None,None,None,None,None,None,None,,,No commitment,
Hyundai Motor,None,None,None,None,None,None,None,None,C,None,2025,,NT only (no NZ),
Electricite de France,None,None,None,None,None,None,T,C,T,None,2024,2024,NT and NZ same year,0
Goldman Sachs Group,None,None,None,T,None,None,None,None,None,None,,2022,NZ only (no NT),
Wells Fargo,None,None,None,None,None,None,None,None,None,None,,,No commitment,
Deutsche Telekom,T,None,T,C,T,T,T,T,T,T,2021,2022,NT first → NZ later,1
China Baowu Steel Group,None,None,None,None,None,None,None,None,None,None,,,No commitment,
Valero Energy,None,None,None,None,None,None,None,None,None,None,,,No commitment,
Comcast,None,None,None,None,C,None,C,C,T,None,2023,2024,NT first → NZ later,1
Allianz,C,None,C,None,C,None,None,None,None,None,2021,,NT only (no NZ),
State Farm Insurance,None,None,None,None,None,None,None,None,None,None,,,No commitment,
AT&T,T,None,T,C,T,None,T,C,T,None,2021,2022,NT first → NZ later,1
Mitsubishi,None,None,None,None,None,None,None,None,None,None,,,No commitment,
Freddie Mac,None,None,None,None,None,None,None,None,None,None,,,No commitment,
Hengli Group,None,None,None,None,None,None,None,None,None,None,,,No commitment,
Shandong Energy Group,None,None,None,None,None,None,None,None,None,None,,,No commitment,
Huawei Investment & Holding,None,None,None,None,None,None,None,None,None,None,,,No commitment,
China Southern Power Grid,None,None,None,None,None,None,None,None,C,None,2025,,NT only (no NZ),
Humana,None,None,C,None,C,None,T,C,T,None,2022,2024,NT first → NZ later,2
China Minmetals,None,None,None,None,None,None,None,None,None,None,,,No commitment,
Gazprom,None,None,None,None,None,None,None,None,None,None,,,No commitment,
Reliance Industries,None,None,None,None,None,None,None,None,None,None,,,No commitment,
Societe Generale,None,None,None,None,None,None,None,None,None,None,,,No commitment,
Rosneft Oil,None,None,None,None,None,None,None,None,None,None,,,No commitment,
BYD,None,None,None,None,None,None,C,C,None,None,2024,2024,NT and NZ same year,0
China Energy Investment,None,None,None,None,None,None,None,None,None,None,,,No commitment,
Morgan Stanley,None,None,None,None,None,None,None,None,None,None,,,No commitment,
Target,T,None,T,C,T,C,T,C,T,C,2021,2022,NT first → NZ later,1
Life Insurance Corp. of India,None,None,None,None,None,None,None,None,None,None,,,No commitment,
Equinor,None,None,None,None,None,None,None,None,None,None,,,No commitment,
Nestlé,T,None,T,C,T,T,None,None,T,T,2021,2022,NT first → NZ later,1
Xiamen C&D,None,None,None,None,None,None,None,None,None,None,,,No commitment,
StoneX Group,None,None,None,None,None,None,None,None,None,None,,,No commitment,
PowerChina,None,None,None,None,None,None,None,None,None,None,,,No commitment,
Royal Bank of Canada,None,None,None,None,None,None,None,None,None,None,,,No commitment,
Sberbank,None,None,None,None,None,None,None,None,None,None,,,No commitment,
AXA,C,None,C,C,C,None,C,C,C,None,2021,2022,NT first → NZ later,1
ENI,None,None,None,None,None,None,None,None,None,None,,,No commitment,
Bosch Group,None,None,None,None,None,None,None,None,T,None,2025,,NT only (no NZ),
Tesla,None,None,C,None,C,None,C,C,None,None,2022,2024,NT first → NZ later,2
China Post Group,None,None,None,None,None,None,None,None,None,None,,,No commitment,
Royal Ahold Delhaize,T,None,T,C,T,C,T,C,T,T,2021,2022,NT first → NZ later,1
Itochu,None,None,None,None,C,C,None,None,None,None,2023,2023,NT and NZ same year,0
Mitsui,None,None,T,C,None,None,None,None,None,None,2022,2022,NT and NZ same year,0
Dell Technologies,T,None,T,C,T,C,T,C,T,T,2021,2022,NT first → NZ later,1
REWE Group,None,None,None,None,None,None,None,None,None,None,,,No commitment,
Carrefour,T,None,T,C,T,C,T,C,T,None,2021,2022,NT first → NZ later,1
SK,None,None,None,None,None,None,None,None,None,None,,,No commitment,
