2024,,,,2025,,,
Company name,Sector (final classification),Region,NZ,Company name,Sector (final classification),Region,NZ
3M,Chemicals,North America,,Walmart,Retail,North America,1
ABB,Industrial goods,Europe,1,Amazon,Retail,North America,1
Abbott Laboratories,Health care and pharmaceuticals,North America,,State Grid,Energy and utilities,Asia,0
AbbVie,Health care and pharmaceuticals,North America,1,Saudi Aramco,Metals and mining,Other,1
Accenture,Financial services,Europe,1,China National Petroleum,Oil and gas,Asia,1
ACS,Engineering and construction,Europe,,Sinopec Group,Oil and gas,Asia,0
AEON,Retail,Asia,1,UnitedHealth Group,Health care and pharmaceuticals,North America,1
Agricultural Bank of China,Financial services,Asia,,Apple,Technology,North America,0
AIA Group,Financial services,Asia,1,CVS Health,Health care and pharmaceuticals,North America,1
AIG,Financial services,North America,1,Berkshire Hathaway,Financial services,North America,0
Air France-KLM Group,Transportation and logistics,Europe,1,McKesson,Health care and pharmaceuticals,North America,0
Airbus,Aerospace and defense,Europe,1,Volkswagen,Automotive,Europe,0
Aisin,Automotive,Asia,,Alphabet,Retail,North America,1
Albertsons,Retail,North America,1,Exxon Mobil,Oil and gas,North America,1
Alibaba Group Holding,Retail,Asia,,Toyota Motor,Automotive,Asia,0
Alimentation Couche-Tard,Retail,North America,,China State Construction Engineering,Engineering and construction,Asia,0
Allianz,Financial services,Europe,1,Cencora,Health care and pharmaceuticals,North America,0
Allstate,Financial services,North America,1,Shell,Oil and gas,Europe,1
Alphabet,Technology,North America,1,JPMorgan Chase,Financial services,North America,1
Aluminum Corp. of China,Metals and mining,Asia,,Costco Wholesale,Retail,North America,0
Amazon,Retail,North America,1,Cigna,Health care and pharmaceuticals,North America,0
America Movil,Telecommunications and media,North America,,Microsoft,Technology,North America,0
American Airlines Group,Transportation and Logistics,North America,1,Trafigura Group,Financial services,Asia,0
American Express,Financial services,North America,1,Glencore,Metals and mining,Europe,1
Anheuser-Busch InBev,"Food, beverages and agriculture",Europe,1,Cardinal Health,Health care and pharmaceuticals,North America,0
Ansteel Group,Metals and mining,Asia,,Industrial & Commercial Bank of China,Financial services,Asia,0
ANZ Group Holdings,Financial services,Other,1,Samsung Electronics,Technology,Asia,1
Apollo Global Management,Financial services,North America,,Hon Hai Precision Industry,Technology,Asia,1
Apple,Technology,North America,,Chevron,Oil and gas,North America,1
ArcelorMittal,Metals and mining,Europe,1,Agricultural Bank of China,Financial services,Asia,0
Archer Daniels Midland,"Food, beverages and agriculture",North America,,China Construction Bank,Financial services,Asia,0
Arrow Electronics,Retail,North America,,TotalEnergies,Oil and gas,Europe,1
Assicurazioni Generali,Financial services,Europe,1,BP,Oil and gas,Europe,1
AstraZeneca,Health care and pharmaceuticals,Europe,1,Bank of America,Financial services,North America,1
AT&T,Telecommunications and media,North America,,General Motors,Automotive,North America,0
Aviation Industry Corp. of China,Aerospace and defense,Asia,1,Ford Motor,Automotive,North America,0
AXA,Financial services,Europe,1,Elevance Health,Health care and pharmaceuticals,North America,1
Banco Bilbao Vizcaya Argentaria,Financial services,Europe,1,Bank of China,Financial services,Asia,0
