company,nz_progression,country,sector 
ABB,---11,,
ACS,---01,,
AIA Group,-1-11,,
AIG,---1-,,
ANZ Group Holdings,---10,,
AT&T,---01,,
AbbVie,---10,,
Abbott Laboratories,---01,,
Aegon,-1---,,
Air France-KLM Group,---11,,
Airbus,-1110,,
Albertsons,--111,,
Allstate,--111,,
Alphabet,-1111,,
America Movil,---01,,
American Airlines Group,-1111,,
American Express,-1111,,
América Móvil,-11--,,
Anheuser-Busch InBev,-1111,,
ArcelorMittal,-1-11,,
Aviation Industry Corp. of China,-1-1-,,
BASF,-1111,,
BMW Group,---11,,
Bank of Nova Scotia,-1111,,
Best Buy,--111,,
Bharat Petroleum,-1111,,
Bouygues,---01,,
Bristol-Myers Squibb,---11,,
British American Tobacco,-1111,,
Brookfield,---11,,
CBRE Group,----1,,
CMA CGM,-1---,,
COSCO Shipping,--111,,
CPC,---11,,
CRH,--111,,
CVS Health,-1111,,
Caixa Econômica Federal,----1,,
Canadian Imperial Bank of Commerce,---11,,
Capital One Financial,---01,,
CarMax,-11--,,
Cenovus Energy,-1111,,
Chevron,-1111,,
China Minmetals,--100,,
China National Building Material Group,---10,,
China National Petroleum,11-01,,
China Taiping Insurance Group,--1--,,
Cisco Systems,-1111,,
Commonwealth Bank of Australia,---11,,
Compal Electronics,-11--,,
Compass Group,--111,,
ConocoPhillips,-1111,,
Coop Group,-1111,,
Credit Agricole,---01,,
Credit Mutuel Group,---1-,,
Crédit Mutuel Group,----1,,
Cummins,---11,,
DHL Group,---11,,
DSV,--1--,,
DZ Bank,---01,,
Deere,---01,,
Delta Air Lines,-1111,,
Deutsche Bahn,---01,,
EXOR Group,-111-,,
Ecopetrol,--111,,
Edeka Zentrale,---11,,
Electricite de France,---11,,
Electricité de France,--1--,,
Elevance Health,--111,,
Exxon Mobil,-1111,,
Fresenius,-1---,,
GE Vernova,----1,,
GSK,-1111,,
General Electric (GE Aerospace),----1,,
George Weston,-1111,,
Groupe BPCE,11-01,,
HCA Healthcare,---11,,
Haier Smart Home,--101,,
Hailiang Group,---01,,
Hanwha,---11,,
Heineken,---11,,
Hitachi,---01,,
Hyundai Mobis,--111,,
Hyundai Motor,--100,,
IBM,--111,,
ING Group,-1111,,
Iberdrola,--111,,
Indian Oil,--111,,
Inditex,-1111,,
Intel,-1111,,
International Airlines Group,----1,,
Intesa Sanpaolo,-1111,,
Investor,-1---,,
Itau Unibanco Holding,---11,,
Itaú Unibanco Holding,-11--,,
JPMorgan Chase,--111,,
Jardine Matheson,---11,,
Jeronimo Martins,---1-,,
Jerónimo Martins,----1,,
KDDI,11101,,
Kia,---10,,
Kuehne + Nagel International,--1--,,
L'Oreal,---1-,,
LG Chem,-1111,,
La Poste,-1111,,
Landesbank Baden-Wurttemberg,---11,,
Lenovo Group,-1111,,
Lowe's,-1111,,
Lukoil,---10,,
LyondellBasell Industries,-1111,,
Magna International,---11,,
Magnit,----1,,
Massachusetts Mutual Life Insurance,-1111,,
Medtronic,-11-1,,
Merck,---01,,
MetLife,-1111,,
Meta Platforms,-1111,,
Migros Group,-1111,,
Mitsubishi,--111,,
Mitsubishi Corp,-1---,,
Mitsubishi Heavy Industries,-1-11,,
Mitsui,11101,,
Mizuho Financial Group,-1111,,
Mondelez International,-1111,,
NTT,----1,,
NatWest Group,----1,,
National Australia Bank,---11,,
Nationwide,--111,,
Nestle,---1-,,
New York Life Insurance,--110,,
Nike,--110,,
Nippon Life Insurance,-1111,,
Northrop Grumman,-1111,,
Novo Nordisk,---11,,
Nucor,---1-,,
OMV Group,-1111,,
Oil & Natural Gas,--101,,
Olam Group,---11,,
Oracle,-1111,,
Orlen,---11,,
PKN ORLEN Group,-1---,,
POSCO,--1--,,
POSCO Holdings,---01,,
PTT,-1111,,
Pacific Construction Group,---01,,
Panasonic Holdings,--111,,
Pegatron,---11,,
Pemex,---11,,
Performance Food Group,---10,,
Pertamina,--101,,
Perusahaan Listrik Negara,----1,,
Petrobras,-1-01,,
Pfizer,-1111,,
Phoenix Pharma,-1-10,,
Power Corp. of Canada,--10-,,
Procter & Gamble,-1111,,
Progressive,--110,,
Qualcomm,-1111,,
Quanta Computer,---01,,
REWE Group,----1,,
RTX,--110,,
Randstad,-1---,,
Renault,---10,,
Rosneft Oil,-1-00,,
S.F. Holding,---01,,
SAP,-1111,,
SK,1--01,,
SK Group,-11--,,
SK Hynix,-11-1,,
SNCF Group,---10,,
Saint-Gobain,-1111,,
Salesforce,--111,,
Samsung Electronics,--111,,
Sanofi,-1111,,
Saudi Aramco,-1111,,
Schlumberger,---11,,
Schneider Electric,-1111,,
Shandong Weiqiao Pioneering Group,---10,,
Shell,-1111,,
Siemens,-1111,,
Siemens Energy,-1-10,,
SoftBank Group,---11,,
St. James's Place,----1,,
Standard Chartered,---11,,
Starbucks,---11,,
State Bank of India,---10,,
Stellantis,-1111,,
StoneX Group,---01,,
Suncor Energy,-1101,,
Suzuki Motor,-1-00,,
TD Synnex,-1111,,
TIAA,-1111,,
TJX,-1111,,
Talanx,-1111,,
Tata Motors,1-101,,
Telefonica,---11,,
Tencent Holdings,--101,,
ThyssenKrupp,---01,,
Tokio Marine Holdings,-1111,,
Toshiba,-1---,,
TotalEnergies,11101,,
Toyota Tsusho,---11,,
Truist Financial,---1-,,
U.S. Bancorp,---11,,
Uber Technologies,--111,,
Umicore,-1---,,
UniCredit Group,---11,,
United Airlines Holdings,--111,,
UnitedHealth Group,-1111,,
Vale,-1111,,
Veolia Environnement,-1111,,
Verizon Communications,-1111,,
Vinci,---01,,
Visa,---01,,
Volvo,11101,,
Walgreens Boots Alliance,---10,,
Warner Bros. Discovery,---01,,
Westpac Banking,----1,,
Wilmar International,---01,,
Wistron,----1,,
World Kinect,---01,,
ZF Friedrichshafen,--100,,
