company,nz_progression,country,sector 
ANZ Group Holdings,---10,,
AbbVie,---10,,
Airbus,-1110,,
Aisin,1--0-,,
Apple,1--00,,
BNP Paribas,11-00,,
Boeing,11100,,
China Minmetals,--100,,
China National Building Material Group,---10,,
Hyundai Motor,--100,,
Kia,---10,,
Lukoil,---10,,
Microsoft,11100,,
New York Life Insurance,--110,,
Nike,--110,,
Performance Food Group,---10,,
Phoenix Pharma,-1-10,,
Power Corp. of Canada,--10-,,
Progressive,--110,,
RTX,--110,,
Renault,---10,,
Rosneft Oil,-1-00,,
SNCF Group,---10,,
Shandong Weiqiao Pioneering Group,---10,,
Siemens Energy,-1-10,,
State Bank of India,---10,,
Suzuki Motor,-1-00,,
Tokyo Electric Power,11110,,
Walgreens Boots Alliance,---10,,
Wells Fargo,11110,,
ZF Friedrichshafen,--100,,
