Company,Sector,Region,NZ_2024,NZ_2025,Transition
Nestlé,"Food, beverages and agriculture",Europe,,1,New to GF500
REWE Group,Retail,Europe,,1,New to GF500
NTT,Telecommunications and media,Asia,,1,New to GF500
Nippon Steel,Metals and mining,Asia,,0,New to GF500
Bunge Global,"Food, beverages and agriculture",Europe,,0,New to GF500
Crédit Mutuel Group,Financial services,Europe,,1,New to GF500
SK Hynix,Technology,Asia,,1,New to GF500
Ingram Micro Holding,Industrial goods,North America,,0,New to GF500
L'Oréal,Household and personal products,Europe,,1,New to GF500
Fomento Económico Mexicano,"Food, beverages and agriculture",Other,,0,New to GF500
Caixa Econômica Federal,Financial services,Other,,1,New to GF500
Bank of New York (BNY),Financial services,North America,,0,New to GF500
General Electric (GE Aerospace),Aerospace and defense,North America,,1,New to GF500
Westpac Banking,Financial services,Other,,1,New to GF500
QNB Group,Financial services,Other,,0,New to GF500
NatWest Group,Financial services,Europe,,1,New to GF500
Lithia Motors,Retail,North America,,0,New to GF500
Jerónimo Martins,Retail,Europe,,1,New to GF500
CBRE Group,Real estate,North America,,1,New to GF500
Country Garden Holdings,Real estate,Asia,,0,New to GF500
GE Vernova,Energy and utilities,North America,,1,New to GF500
ICICI Bank,Financial services,Asia,,0,New to GF500
Shandong Gold Group,Metals and mining,Asia,,0,New to GF500
International Airlines Group,Transportation and logistics,Europe,,1,New to GF500
PNC Financial Services Group,Financial services,North America,,0,New to GF500
Perusahaan Listrik Negara,Energy and utilities,Asia,,1,New to GF500
Sumitomo Life Insurance,Financial services,Asia,,1,New to GF500
BAE Systems,Aerospace and defense,Europe,,1,New to GF500
Amgen,Health care and pharmaceuticals,North America,,0,New to GF500
St. James's Place,Financial services,Europe,,1,New to GF500
GuideWell Mutual Holding,Health care and pharmaceuticals,North America,,0,New to GF500
Magnit,Retail,Europe,,1,New to GF500
Wistron,Technology,Asia,,1,New to GF500
Medtronic,Health care and pharmaceuticals,Europe,,1,New to GF500
New China Life Insurance,Financial services,Asia,,0,New to GF500
China General Technology,Financial services,Asia,,0,New to GF500
