Sector_2024,Total_Companies,NZ_2024,NZ_2025,Gained_NZ,Lost_NZ,Kept_NZ,Net_Change
Financial services,117,63,66,8,5,58,3
Retail,45,25,22,0,3,22,-3
Oil and gas,41,19,24,6,1,18,5
Automotive,35,7,7,2,2,5,0
Metals and mining,35,9,12,3,0,9,3
Industrial goods,32,19,21,3,1,18,2
Health care and pharmaceuticals,25,15,16,2,1,14,1
Energy and utilities,20,7,6,1,2,5,-1
Telecommunications and media,19,9,13,4,0,9,4
Transportation and logistics,17,7,8,2,1,6,1
"Food, beverages and agriculture",17,11,12,1,0,11,1
Technology,17,10,12,2,0,10,2
Engineering and construction,15,1,5,4,0,1,4
Chemicals,8,3,3,0,0,3,0
Aerospace and defense,7,2,1,0,1,1,-1
Household and personal products,6,4,2,0,2,2,-2
Real estate,3,0,0,0,0,0,0
Engineering and Construction,2,0,0,0,0,0,0
Transportation and Logistics,2,2,2,0,0,2,0
Aerospace and Defense,1,1,0,0,1,0,-1
