company,sbti_progression,country,sector 
AIA Group,---11,,
AbbVie,--111,,
Abbott Laboratories,--110,,
Air France-KLM Group,---11,,
Airbus,--111,,
Aisin,---1-,,
Albertsons,-1111,,
Alphabet,----1,,
America Movil,---10,,
American Airlines Group,-1111,,
American Express,----1,,
AmerisourceBergen,--1--,,
Amgen,----1,,
AstraZeneca,-1111,,
BAE Systems,----1,,
Bosch Group,----1,,
Bouygues,---10,,
Bridgestone,--1--,,
Bristol-Myers Squibb,---11,,
Bunge,--11-,,
Bunge Global,----1,,
CBRE Group,----1,,
CK Hutchison Holdings,--110,,
COFCO,---11,,
COSCO Shipping,--111,,
CRH,-1111,,
Cardinal Health,---11,,
Cencora,---11,,
Christian Dior,----1,,
Comcast,----1,,
Compass Group,--111,,
Coop Group,--1-0,,
Cummins,---11,,
DHL Group,---11,,
DSV,-11--,,
Deere,--111,,
Delta Air Lines,--111,,
Denso,---11,,
Deutsche Post DHL Group,--1--,,
E.ON,-1111,,
ELO Group,--1-0,,
Edeka Zentrale,----1,,
Electricite de France,---11,,
Elevance Health,----1,,
Energie Baden-Wurttemberg,--111,,
GSK,-1111,,
Heineken,---11,,
Holcim,-1---,,
Home Depot,---11,,
Hon Hai Precision Industry,--111,,
Honeywell International,--111,,
Humana,---11,,
Hyundai Mobis,----1,,
ING Group,----1,,
Inditex,-1111,,
Ingram Micro Holding,----1,,
Intesa Sanpaolo,----1,,
Jeronimo Martins,---1-,,
Jerónimo Martins,----1,,
KB Financial Group,-1111,,
KDDI,-1111,,
Kuehne + Nagel International,-11--,,
L'Oreal,---1-,,
LG Electronics,-1111,,
Linde,--111,,
Lufthansa Group,---11,,
Luxshare Precision Industry,---11,,
Maersk Group,---11,,
Magna International,---11,,
Magnit,----1,,
McKesson,--111,,
Medtronic,----1,,
Mercedes-Benz Group,---11,,
Merck,-1111,,
Meta Platforms,---11,,
Migros Group,-1111,,
Mitsui,-1--0,,
NTT,----1,,
NatWest Group,----1,,
Nestle,---1-,,
Nippon Telegraph and Telephone,--1--,,
Novo Nordisk,---10,,
Nvidia,----1,,
Olam Group,-1111,,
Paccar,---11,,
Panasonic Holdings,-1111,,
Pegatron,----1,,
Qualcomm,--111,,
Quanta Computer,----1,,
RWE,-11--,,
Roche Group,----1,,
S.F. Holding,----1,,
Salesforce,---11,,
Siemens Energy,-1111,,
Starbucks,-1111,,
Sysco,--111,,
TD Synnex,---11,,
Tata Motors,-1--0,,
Telefonica,---11,,
Tencent Holdings,--111,,
Thermo Fisher Scientific,--111,,
Toyota Motor,--111,,
Toyota Tsusho,----1,,
US Foods Holding,--111,,
Uber Technologies,---11,,
United Airlines Holdings,---11,,
UnitedHealth Group,----1,,
Vinci,-1111,,
Visa,---11,,
Walt Disney,---11,,
Wilmar International,----1,,
Wistron,----1,,
ZF Friedrichshafen,-1111,,
