sector_2024,total_companies,nz_2024,nz_2025,gained_nz,lost_nz,maintained_1,maintained_0,net_change,pct_with_nz_2024,pct_with_nz_2025,pct_point_change
Financial services,127,67,70,33,30,37,27,3,52.8,55.1,2.3
Retail,46,25,21,9,13,12,12,-4,54.3,45.7,-8.6
Oil and gas,43,19,24,15,10,9,9,5,44.2,55.8,11.6
Metals and mining,40,10,18,12,4,6,18,8,25.0,45.0,20.0
Automotive,37,7,16,13,4,3,17,9,18.9,43.2,24.3
Industrial goods,34,20,19,8,9,11,6,-1,58.8,55.9,-2.9
Health care and pharmaceuticals,25,15,14,3,4,11,7,-1,60.0,56.0,-4.0
Energy and utilities,22,8,3,1,6,2,13,-5,36.4,13.6,-22.8
"Food, beverages and agriculture",21,13,16,4,1,12,4,3,61.9,76.2,14.3
Telecommunications and media,20,9,8,4,5,4,7,-1,45.0,40.0,-5.0
Transportation and logistics,18,7,10,6,3,4,5,3,38.9,55.6,16.7
Technology,17,10,9,4,5,5,3,-1,58.8,52.9,-5.9
Engineering and construction,15,1,7,6,0,1,8,6,6.7,46.7,40.0
Chemicals,10,3,5,3,1,2,4,2,30.0,50.0,20.0
Aerospace and defense,9,3,5,4,2,1,2,2,33.3,55.6,22.3
Household and personal products,7,5,5,0,0,5,2,0,71.4,71.4,0.0
Real estate,3,0,0,0,0,0,3,0,0.0,0.0,0.0
Engineering and Construction,3,0,2,2,0,0,1,2,0.0,66.7,66.7
Transportation and Logistics,2,2,0,0,2,0,0,-2,100.0,0.0,-100.0
Aerospace and Defense,1,1,1,0,0,1,0,0,100.0,100.0,0.0
